Summary
-------

Measuring unpaused time only

elapsed   497556 ms (8m 17s)
 dfhack    32174 ms (  6.47% of elapsed)


DFHack details
--------------

keybinding       11 ms (  0.03% of dfhack,   0.00% of elapsed)
    update     7407 ms ( 23.02% of dfhack,   1.49% of elapsed)
   overlay    24756 ms ( 76.94% of dfhack,   4.98% of elapsed)
   zscreen        0 ms (  0.00% of dfhack,   0.00% of elapsed)


Update details
--------------

  event manager     3354 ms ( 45.28% of update,   0.67% of elapsed)
plugin onUpdate     3487 ms ( 47.08% of update,   0.70% of elapsed)
     lua timers      425 ms (  5.74% of update,   0.09% of elapsed)


Event manager per event type
----------------------------

              JOB_STARTED     1080 ms ( 32.20% of event manager,   0.22% of elapsed)
            JOB_COMPLETED     1034 ms ( 30.83% of event manager,   0.21% of elapsed)
               UNIT_DEATH      852 ms ( 25.40% of event manager,   0.17% of elapsed)
            JOB_INITIATED      233 ms (  6.95% of event manager,   0.05% of elapsed)
                 BUILDING       30 ms (  0.89% of event manager,   0.01% of elapsed)
          UNIT_NEW_ACTIVE       18 ms (  0.54% of event manager,   0.00% of elapsed)
                   UNLOAD        6 ms (  0.18% of event manager,   0.00% of elapsed)

                framework      101 ms (  3.01% of event manager,   0.02% of elapsed)
            all subtimers     3253 ms ( 96.99% of event manager,   0.65% of elapsed)


Event manager JOB_STARTED event per plugin
------------------------------------------

                   burrow        3 ms (  0.28% of event type,   0.00% of elapsed)

                framework     1077 ms ( 99.72% of event type,   0.22% of elapsed)
            all subtimers        3 ms (  0.28% of event type,   0.00% of elapsed)


Event manager JOB_COMPLETED event per plugin
--------------------------------------------

                   burrow        3 ms (  0.29% of event type,   0.00% of elapsed)

                framework     1031 ms ( 99.71% of event type,   0.21% of elapsed)
            all subtimers        3 ms (  0.29% of event type,   0.00% of elapsed)


Event manager UNIT_NEW_ACTIVE event per plugin
----------------------------------------------


                framework       18 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_INITIATED event per plugin
--------------------------------------------

                 eventful       16 ms (  6.87% of event type,   0.00% of elapsed)
           suspendmanager        5 ms (  2.15% of event type,   0.00% of elapsed)

                framework      212 ms ( 90.99% of event type,   0.04% of elapsed)
            all subtimers       21 ms (  9.01% of event type,   0.00% of elapsed)


Event manager BUILDING event per plugin
---------------------------------------


                framework       30 ms (100.00% of event type,   0.01% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager UNIT_DEATH event per plugin
-----------------------------------------


                framework      852 ms (100.00% of event type,   0.17% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Update per plugin
-----------------

                  overlay     1982 ms ( 56.84% of update,   0.40% of elapsed)
           preserve-rooms      108 ms (  3.10% of update,   0.02% of elapsed)
     RemoteFortressReader       66 ms (  1.89% of update,   0.01% of elapsed)
                  3dveins       42 ms (  1.20% of update,   0.01% of elapsed)
             buildingplan       41 ms (  1.18% of update,   0.01% of elapsed)
                logistics       31 ms (  0.89% of update,   0.01% of elapsed)
               stonesense       30 ms (  0.86% of update,   0.01% of elapsed)
           suspendmanager       30 ms (  0.86% of update,   0.01% of elapsed)
           preserve-tombs       29 ms (  0.83% of update,   0.01% of elapsed)
   army-controller-sanity       27 ms (  0.77% of update,   0.01% of elapsed)
              add-spatter       22 ms (  0.63% of update,   0.00% of elapsed)
                fastdwarf       20 ms (  0.57% of update,   0.00% of elapsed)
                autolabor       20 ms (  0.57% of update,   0.00% of elapsed)
                   tailor       19 ms (  0.54% of update,   0.00% of elapsed)
                nestboxes       17 ms (  0.49% of update,   0.00% of elapsed)
              autonestbox       16 ms (  0.46% of update,   0.00% of elapsed)
                seedwatch       16 ms (  0.46% of update,   0.00% of elapsed)
                 autochop       16 ms (  0.46% of update,   0.00% of elapsed)
                   reveal       16 ms (  0.46% of update,   0.00% of elapsed)
