Summary
-------

Measuring unpaused time only

elapsed  2532363 ms (42m 12s)
 dfhack   120705 ms (  4.77% of elapsed)


DFHack details
--------------

keybinding       38 ms (  0.03% of dfhack,   0.00% of elapsed)
    update    27620 ms ( 22.88% of dfhack,   1.09% of elapsed)
   overlay    93043 ms ( 77.08% of dfhack,   3.67% of elapsed)
   zscreen        4 ms (  0.00% of dfhack,   0.00% of elapsed)


Update details
--------------

  event manager    17179 ms ( 62.20% of update,   0.68% of elapsed)
plugin onUpdate     8189 ms ( 29.65% of update,   0.32% of elapsed)
     lua timers     1905 ms (  6.90% of update,   0.08% of elapsed)


Event manager per event type
----------------------------

              JOB_STARTED     7052 ms ( 41.05% of event manager,   0.28% of elapsed)
            JOB_COMPLETED     4511 ms ( 26.26% of event manager,   0.18% of elapsed)
               UNIT_DEATH     3484 ms ( 20.28% of event manager,   0.14% of elapsed)
            JOB_INITIATED     1645 ms (  9.58% of event manager,   0.06% of elapsed)
                 BUILDING      162 ms (  0.94% of event manager,   0.01% of elapsed)
          UNIT_NEW_ACTIVE       83 ms (  0.48% of event manager,   0.00% of elapsed)
                   UNLOAD        9 ms (  0.05% of event manager,   0.00% of elapsed)

                framework      233 ms (  1.36% of event manager,   0.01% of elapsed)
            all subtimers    16946 ms ( 98.64% of event manager,   0.67% of elapsed)


Event manager BUILDING event per plugin
---------------------------------------


                framework      162 ms (100.00% of event type,   0.01% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager UNIT_NEW_ACTIVE event per plugin
----------------------------------------------


                framework       83 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_INITIATED event per plugin
--------------------------------------------

                 eventful       32 ms (  1.95% of event type,   0.00% of elapsed)
           suspendmanager       11 ms (  0.67% of event type,   0.00% of elapsed)

                framework     1602 ms ( 97.39% of event type,   0.06% of elapsed)
            all subtimers       43 ms (  2.61% of event type,   0.00% of elapsed)


Event manager JOB_COMPLETED event per plugin
--------------------------------------------

                   burrow       12 ms (  0.27% of event type,   0.00% of elapsed)
           suspendmanager        1 ms (  0.02% of event type,   0.00% of elapsed)

                framework     4498 ms ( 99.71% of event type,   0.18% of elapsed)
            all subtimers       13 ms (  0.29% of event type,   0.00% of elapsed)


Event manager JOB_STARTED event per plugin
------------------------------------------

                   burrow       33 ms (  0.47% of event type,   0.00% of elapsed)

                framework     7019 ms ( 99.53% of event type,   0.28% of elapsed)
            all subtimers       33 ms (  0.47% of event type,   0.00% of elapsed)


Event manager UNIT_DEATH event per plugin
-----------------------------------------


                framework     3484 ms (100.00% of event type,   0.14% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Update per plugin
-----------------

                  overlay     5318 ms ( 64.94% of update,   0.21% of elapsed)
           preserve-rooms      274 ms (  3.35% of update,   0.01% of elapsed)
     RemoteFortressReader      108 ms (  1.32% of update,   0.00% of elapsed)
             buildingplan       99 ms (  1.21% of update,   0.00% of elapsed)
                  3dveins       93 ms (  1.14% of update,   0.00% of elapsed)
                logistics       92 ms (  1.12% of update,   0.00% of elapsed)
           suspendmanager       67 ms (  0.82% of update,   0.00% of elapsed)
           preserve-tombs       49 ms (  0.60% of update,   0.00% of elapsed)
              add-spatter       47 ms (  0.57% of update,   0.00% of elapsed)
               stonesense       36 ms (  0.44% of update,   0.00% of elapsed)
                 autofarm       35 ms (  0.43% of update,   0.00% of elapsed)
                 spectate       33 ms (  0.40% of update,   0.00% of elapsed)
              autonestbox       31 ms (  0.38% of update,   0.00% of elapsed)
                      dig       31 ms (  0.38% of update,   0.00% of elapsed)
             pet-uncapper       30 ms (  0.37% of update,   0.00% of elapsed)
               edgescroll       30 ms (  0.37% of update,   0.00% of elapsed)
   army-controller-sanity       29 ms (  0.35% of update,   0.00% of elapsed)
                fastdwarf       28 ms (  0.34% of update,   0.00% of elapsed)
                autolabor       28 ms (  0.34% of update,   0.00% of elapsed)
             autoclothing       27 ms (  0.33% of update,   0.00% of elapsed)
                 autochop       27 ms (  0.33% of update,   0.00% of elapsed)
                    tweak       26 ms (  0.32% of update,   0.00% of elapsed)
                   burrow       26 ms (  0.32% of update,   0.00% of elapsed)
              autobutcher       26 ms (  0.32% of update,   0.00% of elapsed)
                   misery       25 ms (  0.31% of update,   0.00% of elapsed)
                   reveal       24 ms (  0.29% of update,   0.00% of elapsed)
               cleanconst       23 ms (  0.28% of update,   0.00% of elapsed)
               cleanowned       22 ms (  0.27% of update,   0.00% of elapsed)
               timestream       22 ms (  0.27% of update,   0.00% of elapsed)
               prospector       22 ms (  0.27% of update,   0.00% of elapsed)
                   tailor       21 ms (  0.26% of update,   0.00% of elapsed)
                 dwarfvet       21 ms (  0.26% of update,   0.00% of elapsed)
