Summary
-------

Measuring unpaused time only

elapsed    56520 ms (0m 56s)
 dfhack     2958 ms (  5.23% of elapsed)


DFHack details
--------------

keybinding        1 ms (  0.03% of dfhack,   0.00% of elapsed)
    update      738 ms ( 24.95% of dfhack,   1.31% of elapsed)
   overlay     2219 ms ( 75.02% of dfhack,   3.93% of elapsed)
   zscreen        0 ms (  0.00% of dfhack,   0.00% of elapsed)


Update details
--------------

  event manager      381 ms ( 51.63% of update,   0.67% of elapsed)
plugin onUpdate      312 ms ( 42.28% of update,   0.55% of elapsed)
     lua timers       33 ms (  4.47% of update,   0.06% of elapsed)


Event manager per event type
----------------------------

              JOB_STARTED      136 ms ( 35.70% of event manager,   0.24% of elapsed)
               UNIT_DEATH      107 ms ( 28.08% of event manager,   0.19% of elapsed)
            JOB_COMPLETED       73 ms ( 19.16% of event manager,   0.13% of elapsed)
            JOB_INITIATED       41 ms ( 10.76% of event manager,   0.07% of elapsed)
                 BUILDING       13 ms (  3.41% of event manager,   0.02% of elapsed)
          UNIT_NEW_ACTIVE        1 ms (  0.26% of event manager,   0.00% of elapsed)
                   UNLOAD        1 ms (  0.26% of event manager,   0.00% of elapsed)

                framework        9 ms (  2.36% of event manager,   0.02% of elapsed)
            all subtimers      372 ms ( 97.64% of event manager,   0.66% of elapsed)


Event manager JOB_COMPLETED event per plugin
--------------------------------------------


                framework       73 ms (100.00% of event type,   0.13% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_STARTED event per plugin
------------------------------------------

                   burrow        1 ms (  0.74% of event type,   0.00% of elapsed)

                framework      135 ms ( 99.26% of event type,   0.24% of elapsed)
            all subtimers        1 ms (  0.74% of event type,   0.00% of elapsed)


Event manager UNIT_NEW_ACTIVE event per plugin
----------------------------------------------


                framework        1 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_INITIATED event per plugin
--------------------------------------------

           suspendmanager        3 ms (  7.32% of event type,   0.01% of elapsed)
