Summary
-------

Measuring unpaused time only

elapsed  1319217 ms (21m 59s)
 dfhack    78222 ms (  5.93% of elapsed)


DFHack details
--------------

keybinding       36 ms (  0.05% of dfhack,   0.00% of elapsed)
    update    13606 ms ( 17.39% of dfhack,   1.03% of elapsed)
   overlay    64580 ms ( 82.56% of dfhack,   4.90% of elapsed)
   zscreen        0 ms (  0.00% of dfhack,   0.00% of elapsed)


Update details
--------------

  event manager     7432 ms ( 54.62% of update,   0.56% of elapsed)
plugin onUpdate     4983 ms ( 36.62% of update,   0.38% of elapsed)
     lua timers      966 ms (  7.10% of update,   0.07% of elapsed)


Event manager per event type
----------------------------

              JOB_STARTED     2940 ms ( 39.56% of event manager,   0.22% of elapsed)
            JOB_COMPLETED     2157 ms ( 29.02% of event manager,   0.16% of elapsed)
               UNIT_DEATH     1492 ms ( 20.08% of event manager,   0.11% of elapsed)
            JOB_INITIATED      537 ms (  7.23% of event manager,   0.04% of elapsed)
                 BUILDING       76 ms (  1.02% of event manager,   0.01% of elapsed)
          UNIT_NEW_ACTIVE       47 ms (  0.63% of event manager,   0.00% of elapsed)
                   UNLOAD        9 ms (  0.12% of event manager,   0.00% of elapsed)

                framework      174 ms (  2.34% of event manager,   0.01% of elapsed)
            all subtimers     7258 ms ( 97.66% of event manager,   0.55% of elapsed)


Event manager JOB_STARTED event per plugin
------------------------------------------

                   burrow       14 ms (  0.48% of event type,   0.00% of elapsed)

                framework     2926 ms ( 99.52% of event type,   0.22% of elapsed)
            all subtimers       14 ms (  0.48% of event type,   0.00% of elapsed)


Event manager JOB_INITIATED event per plugin
--------------------------------------------

                 eventful       23 ms (  4.28% of event type,   0.00% of elapsed)
           suspendmanager        5 ms (  0.93% of event type,   0.00% of elapsed)

                framework      509 ms ( 94.79% of event type,   0.04% of elapsed)
            all subtimers       28 ms (  5.21% of event type,   0.00% of elapsed)


Event manager UNIT_NEW_ACTIVE event per plugin
----------------------------------------------


                framework       47 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_COMPLETED event per plugin
--------------------------------------------

                   burrow        7 ms (  0.32% of event type,   0.00% of elapsed)

                framework     2150 ms ( 99.68% of event type,   0.16% of elapsed)
            all subtimers        7 ms (  0.32% of event type,   0.00% of elapsed)


Event manager BUILDING event per plugin
---------------------------------------


                framework       76 ms (100.00% of event type,   0.01% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager UNIT_DEATH event per plugin
-----------------------------------------


                framework     1492 ms (100.00% of event type,   0.11% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Update per plugin
-----------------

                  overlay     3041 ms ( 61.03% of update,   0.23% of elapsed)
           preserve-rooms      174 ms (  3.49% of update,   0.01% of elapsed)
     RemoteFortressReader       90 ms (  1.81% of update,   0.01% of elapsed)
             buildingplan       83 ms (  1.67% of update,   0.01% of elapsed)
                  3dveins       60 ms (  1.20% of update,   0.00% of elapsed)
                logistics       55 ms (  1.10% of update,   0.00% of elapsed)
   army-controller-sanity       37 ms (  0.74% of update,   0.00% of elapsed)
           suspendmanager       36 ms (  0.72% of update,   0.00% of elapsed)
           preserve-tombs       32 ms (  0.64% of update,   0.00% of elapsed)
               stonesense       28 ms (  0.56% of update,   0.00% of elapsed)
              add-spatter       24 ms (  0.48% of update,   0.00% of elapsed)
                   reveal       22 ms (  0.44% of update,   0.00% of elapsed)
                  aquifer       20 ms (  0.40% of update,   0.00% of elapsed)
                   misery       19 ms (  0.38% of update,   0.00% of elapsed)
                    tweak       18 ms (  0.36% of update,   0.00% of elapsed)
                    flows       18 ms (  0.36% of update,   0.00% of elapsed)
             autoclothing       18 ms (  0.36% of update,   0.00% of elapsed)
                 autofarm       18 ms (  0.36% of update,   0.00% of elapsed)
                 autoslab       17 ms (  0.34% of update,   0.00% of elapsed)
                seedwatch       17 ms (  0.34% of update,   0.00% of elapsed)
              autobutcher       17 ms (  0.34% of update,   0.00% of elapsed)
                 autochop       16 ms (  0.32% of update,   0.00% of elapsed)
               timestream       15 ms (  0.30% of update,   0.00% of elapsed)
              autonestbox       15 ms (  0.30% of update,   0.00% of elapsed)
                  hotkeys       14 ms (  0.28% of update,   0.00% of elapsed)
